idTerytWojewodztwo,Wojewodztwo,idTypPodmiotu,TypPodmiotu,idRodzajWypadku,RodzajWypadku,idPrzyczynaWypadku,PrzyczynaWypadku,idMiejsceWypadku,MiejsceWypadku,idRodzajZajec,RodzajZajec,Liczba Wypadkow
2,DOLNOŚLĄSKIE,1,Przedszkole,100,inny,9,brak lub niedostateczny nadzór nad uczniem,2,ciągi komunikacyjne,5,inne zajęcia edukacyjne,1
2,DOLNOŚLĄSKIE,1,Przedszkole,100,inny,13,działania umyślne ucznia,1,"sala lekcyjna, pracownia szkolna",5,inne zajęcia edukacyjne,1
2,DOLNOŚLĄSKIE,1,Przedszkole,100,inny,14,działania nieumyślne ucznia,1,"sala lekcyjna, pracownia szkolna",5,inne zajęcia edukacyjne,1
2,DOLNOŚLĄSKIE,1,Przedszkole,100,inny,14,działania nieumyślne ucznia,3,sala gimnastyczna,5,inne zajęcia edukacyjne,2
2,DOLNOŚLĄSKIE,1,Przedszkole,100,inny,14,działania nieumyślne ucznia,3,sala gimnastyczna,100,inne zajęcia,1
2,DOLNOŚLĄSKIE,1,Przedszkole,100,inny,14,działania nieumyślne ucznia,5,plac zabaw,5,inne zajęcia edukacyjne,2
2,DOLNOŚLĄSKIE,1,Przedszkole,100,inny,14,działania nieumyślne ucznia,5,plac zabaw,100,inne zajęcia,1
2,DOLNOŚLĄSKIE,1,Przedszkole,100,inny,14,działania nieumyślne ucznia,100,inne,100,inne zajęcia,1
2,DOLNOŚLĄSKIE,1,Przedszkole,100,inny,15,nieuwaga ucznia,1,"sala lekcyjna, pracownia szkolna",5,inne zajęcia edukacyjne,6
2,DOLNOŚLĄSKIE,1,Przedszkole,100,inny,15,nieuwaga ucznia,1,"sala lekcyjna, pracownia szkolna",6,przerwy międzylekcyjne,1
2,DOLNOŚLĄSKIE,1,Przedszkole,100,inny,15,nieuwaga ucznia,1,"sala lekcyjna, pracownia szkolna",100,inne zajęcia,8
2,DOLNOŚLĄSKIE,1,Przedszkole,100,inny,15,nieuwaga ucznia,4,boisko,100,inne zajęcia,1
2,DOLNOŚLĄSKIE,1,Przedszkole,100,inny,15,nieuwaga ucznia,5,plac zabaw,5,inne zajęcia edukacyjne,7
2,DOLNOŚLĄSKIE,1,Przedszkole,100,inny,15,nieuwaga ucznia,5,plac zabaw,100,inne zajęcia,11
2,DOLNOŚLĄSKIE,1,Przedszkole,100,inny,15,nieuwaga ucznia,100,inne,8,wycieczki edukacyjne,1
2,DOLNOŚLĄSKIE,1,Przedszkole,100,inny,15,nieuwaga ucznia,100,inne,100,inne zajęcia,1
